Time (sec), Commanded Roll (deg), Reported Roll (deg), Commanded Altitude MSL (m), Reported Altitude MSL (m), Latitude (deg), Longitude (deg)
7.859,0.0,0.0,0.0,0.0,0.0,0.0
7.884,0.0,0.0,0.0,0.0,0.0,0.0
7.913,0.0,0.0,0.0,0.0,0.0,0.0
7.939,0.0,0.0,0.0,0.0,0.0,0.0
7.964,0.0,0.0,0.0,0.0,0.0,0.0
7.99,0.0,0.0,0.0,0.0,0.0,0.0
8.015,0.0,0.0,0.0,0.0,0.0,0.0
8.04,0.0,0.0,0.0,0.0,0.0,0.0
8.065,0.0,0.0,0.0,0.0,0.0,0.0
8.093,0.0,0.0,0.0,0.0,0.0,0.0
8.118,0.0,0.0,0.0,0.0,0.0,0.0
8.144,0.0,0.0,0.0,0.0,0.0,0.0
8.173,0.0,0.0,0.0,0.0,0.0,0.0
8.202,0.0,0.0,0.0,0.0,0.0,0.0
8.228,0.0,0.0,0.0,0.0,0.0,0.0
8.253,0.0,0.0,0.0,0.0,0.0,0.0
8.279,0.0,0.0,0.0,0.0,0.0,0.0
8.304,0.0,0.0,0.0,0.0,0.0,0.0
8.332,0.0,0.0,0.0,0.0,0.0,0.0
8.357,0.0,0.0,0.0,0.0,0.0,0.0
8.382,0.0,0.0,0.0,0.0,0.0,0.0
8.408,0.0,0.0,0.0,0.0,0.0,0.0
8.433,0.0,0.0,0.0,0.0,0.0,0.0
8.458,0.0,0.0,0.0,0.0,0.0,0.0
8.486,0.0,0.0,0.0,0.0,0.0,0.0
8.511,0.0,0.0,0.0,0.0,0.0,0.0
8.536,0.0,0.0,0.0,0.0,0.0,0.0
8.562,0.0,0.0,0.0,0.0,0.0,0.0
8.587,0.0,0.0,0.0,0.0,0.0,0.0
8.612,0.0,0.0,0.0,0.0,0.0,0.0
8.641,0.0,0.0,0.0,0.0,0.0,0.0
8.667,0.0,0.0,0.0,0.0,0.0,0.0
8.697,0.0,0.0,0.0,0.0,0.0,0.0
8.722,0.0,0.0,0.0,0.0,0.0,0.0
8.747,0.0,0.0,0.0,0.0,0.0,0.0
8.774,0.0,0.0,0.0,0.0,0.0,0.0
8.801,0.0,0.0,0.0,0.0,0.0,0.0
8.83,0.0,0.0,0.0,0.0,0.0,0.0
8.856,0.0,0.0,0.0,0.0,0.0,0.0
8.883,0.0,0.0,0.0,0.0,0.0,0.0
8.908,0.0,0.0,0.0,0.0,0.0,0.0
8.933,0.0,0.0,0.0,0.0,0.0,0.0
8.959,0.0,0.0,0.0,0.0,0.0,0.0
8.987,0.0,0.0,0.0,0.0,0.0,0.0
9.017,0.0,0.0,0.0,0.0,0.0,0.0
9.047,0.0,0.0,0.0,0.0,0.0,0.0
9.072,0.0,0.0,0.0,0.0,0.0,0.0
9.098,0.0,0.0,0.0,0.0,0.0,0.0
9.124,0.0,0.0,0.0,0.0,0.0,0.0
9.153,0.0,0.0,0.0,0.0,0.0,0.0
9.178,0.0,0.0,0.0,0.0,0.0,0.0
9.203,0.0,0.0,0.0,0.0,0.0,0.0
9.228,0.0,0.0,0.0,0.0,0.0,0.0
9.253,0.0,0.0,0.0,0.0,0.0,0.0
9.279,0.0,0.0,0.0,0.0,0.0,0.0
